Generation,Bot A,Bot B,Score A,Score B,Winner
2,Ratatoskr,TitForTat,385,315,Ratatoskr
2,Ratatoskr,GenerousTitForTat,414,314,Ratatoskr
2,Ratatoskr,TotReversedBot,1037,137,Ratatoskr
2,Ygddrasil,Mia,759,739,Ygddrasil
2,Ygddrasil,TitForTat,693,693,Draw
2,Ygddrasil,GenerousTitForTat,778,753,Ygddrasil
2,Ygddrasil,TotReversedBot,704,709,TotReversedBot
2,Mia,TitForTat,742,767,TitForTat
2,Mia,GenerousTitForTat,729,734,GenerousTitForTat
2,Mia,TotReversedBot,762,762,Draw
2,TitForTat,GenerousTitForTat,769,744,TitForTat
2,TitForTat,TotReversedBot,798,793,TitForTat
2,GenerousTitForTat,TotReversedBot,752,777,TotReversedBot
3,TotBot,TotBot,537,527,TotBot
3,TotBot,JustinBot,598,578,TotBot
3,TotBot,JustinBot,651,616,TotBot
3,TotBot,GenerousTitForTat,818,748,TotBot
3,TotBot,GenerousTitForTat,756,731,TotBot
3,TotBot,Mia,754,739,TotBot
3,TotBot,Mia,776,756,TotBot
3,TotBot,TitForTat,699,674,TotBot
3,TotBot,TitForTat,662,647,TotBot
3,TotBot,Ygddrasil,644,649,Ygddrasil
3,TotBot,Ygddrasil,716,691,TotBot
3,TotBot,JustinBot,875,760,TotBot
3,TotBot,JustinBot,613,598,TotBot
3,TotBot,GenerousTitForTat,777,752,TotBot
3,TotBot,GenerousTitForTat,758,688,TotBot
3,TotBot,Mia,779,744,TotBot
3,TotBot,Mia,824,789,TotBot
3,TotBot,TitForTat,672,687,TitForTat
3,TotBot,TitForTat,598,583,TotBot
3,TotBot,Ygddrasil,700,675,TotBot
3,TotBot,Ygddrasil,641,641,Draw
3,JustinBot,JustinBot,851,891,JustinBot
3,JustinBot,GenerousTitForTat,871,861,JustinBot
3,JustinBot,GenerousTitForTat,852,882,GenerousTitForTat
3,JustinBot,Mia,749,759,Mia
3,JustinBot,Mia,788,863,Mia
3,JustinBot,TitForTat,835,870,TitForTat
3,JustinBot,TitForTat,821,836,TitForTat
3,JustinBot,Ygddrasil,650,730,Ygddrasil
3,JustinBot,Ygddrasil,648,748,Ygddrasil
3,JustinBot,GenerousTitForTat,873,853,JustinBot
3,JustinBot,GenerousTitForTat,868,853,JustinBot
3,JustinBot,Mia,729,724,JustinBot
3,JustinBot,Mia,774,909,Mia
3,JustinBot,TitForTat,849,889,TitForTat
3,JustinBot,TitForTat,837,872,TitForTat
3,JustinBot,Ygddrasil,649,724,Ygddrasil
3,JustinBot,Ygddrasil,659,719,Ygddrasil
3,GenerousTitForTat,GenerousTitForTat,840,825,GenerousTitForTat
3,GenerousTitForTat,Mia,787,817,Mia
3,GenerousTitForTat,Mia,776,816,Mia
3,GenerousTitForTat,TitForTat,741,771,TitForTat
3,GenerousTitForTat,TitForTat,779,814,TitForTat
3,GenerousTitForTat,Ygddrasil,686,701,Ygddrasil
3,GenerousTitForTat,Ygddrasil,665,735,Ygddrasil
3,GenerousTitForTat,Mia,774,814,Mia
3,GenerousTitForTat,Mia,713,788,Mia
3,GenerousTitForTat,TitForTat,836,866,TitForTat
3,GenerousTitForTat,TitForTat,828,848,TitForTat
3,GenerousTitForTat,Ygddrasil,787,822,Ygddrasil
3,GenerousTitForTat,Ygddrasil,682,712,Ygddrasil
3,Mia,Mia,792,782,Mia
3,Mia,TitForTat,706,716,TitForTat
3,Mia,TitForTat,792,822,TitForTat
3,Mia,Ygddrasil,646,751,Ygddrasil
3,Mia,Ygddrasil,645,745,Ygddrasil
3,Mia,TitForTat,752,767,TitForTat
3,Mia,TitForTat,798,783,Mia
3,Mia,Ygddrasil,687,737,Ygddrasil
3,Mia,Ygddrasil,703,743,Ygddrasil
3,TitForTat,TitForTat,736,731,TitForTat
3,TitForTat,Ygddrasil,686,686,Draw
3,TitForTat,Ygddrasil,688,698,Ygddrasil
3,TitForTat,Ygddrasil,615,615,Draw
3,TitForTat,Ygddrasil,679,684,Ygddrasil
3,Ygddrasil,Ygddrasil,862,847,Ygddrasil
4,GenerousTitForTat,GenerousTitForTat,779,794,GenerousTitForTat
4,GenerousTitForTat,GenerousTitForTat,834,784,GenerousTitForTat
4,GenerousTitForTat,Mia,779,779,Draw
4,GenerousTitForTat,Mia,812,797,GenerousTitForTat
4,GenerousTitForTat,Mia,775,790,Mia
4,GenerousTitForTat,JustinBot,876,876,Draw
4,GenerousTitForTat,JustinBot,876,851,GenerousTitForTat
4,GenerousTitForTat,JustinBot,873,863,GenerousTitForTat
4,GenerousTitForTat,TitForTat,788,793,TitForTat
4,GenerousTitForTat,TitForTat,724,744,TitForTat
4,GenerousTitForTat,TitForTat,809,834,TitForTat
4,GenerousTitForTat,GenerousTitForTat,832,827,GenerousTitForTat
4,GenerousTitForTat,Mia,789,809,Mia
4,GenerousTitForTat,Mia,715,795,Mia
4,GenerousTitForTat,Mia,768,788,Mia
4,GenerousTitForTat,JustinBot,885,845,GenerousTitForTat
4,GenerousTitForTat,JustinBot,852,862,JustinBot
4,GenerousTitForTat,JustinBot,835,845,JustinBot
4,GenerousTitForTat,TitForTat,735,765,TitForTat
4,GenerousTitForTat,TitForTat,741,766,TitForTat
4,GenerousTitForTat,TitForTat,797,802,TitForTat
4,GenerousTitForTat,Mia,783,828,Mia
4,GenerousTitForTat,Mia,801,771,GenerousTitForTat
4,GenerousTitForTat,Mia,784,794,Mia
4,GenerousTitForTat,JustinBot,866,876,JustinBot
4,GenerousTitForTat,JustinBot,895,850,GenerousTitForTat
4,GenerousTitForTat,JustinBot,890,845,GenerousTitForTat
4,GenerousTitForTat,TitForTat,791,816,TitForTat
4,GenerousTitForTat,TitForTat,854,864,TitForTat
4,GenerousTitForTat,TitForTat,788,813,TitForTat
4,Mia,Mia,747,797,Mia
4,Mia,Mia,730,745,Mia
4,Mia,JustinBot,872,777,Mia
4,Mia,JustinBot,811,776,Mia
4,Mia,JustinBot,906,751,Mia
4,Mia,TitForTat,771,766,Mia
4,Mia,TitForTat,744,774,TitForTat
4,Mia,TitForTat,744,729,Mia
4,Mia,Mia,800,730,Mia
4,Mia,JustinBot,880,830,Mia
4,Mia,JustinBot,902,782,Mia
4,Mia,JustinBot,861,776,Mia
4,Mia,TitForTat,798,798,Draw
4,Mia,TitForTat,724,714,Mia
4,Mia,TitForTat,777,812,TitForTat
4,Mia,JustinBot,875,820,Mia
4,Mia,JustinBot,865,790,Mia
4,Mia,JustinBot,865,785,Mia
4,Mia,TitForTat,748,753,TitForTat
4,Mia,TitForTat,770,780,TitForTat
4,Mia,TitForTat,745,765,TitForTat
4,JustinBot,JustinBot,844,864,JustinBot
4,JustinBot,JustinBot,860,885,JustinBot
4,JustinBot,TitForTat,826,841,TitForTat
4,JustinBot,TitForTat,862,882,TitForTat
4,JustinBot,TitForTat,848,873,TitForTat
4,JustinBot,JustinBot,887,847,JustinBot
4,JustinBot,TitForTat,850,885,TitForTat
4,JustinBot,TitForTat,863,878,TitForTat
4,JustinBot,TitForTat,839,879,TitForTat
4,JustinBot,TitForTat,831,861,TitForTat
4,JustinBot,TitForTat,853,878,TitForTat
